,place_code,ItemID,address,local,category
23,STORE_GJ0024,계탄집 본점,서울 광진구 능동로 31 1층,(지번) 자양동 553-264,닭요리
24,STORE_GJ0025,빠오즈푸,서울 광진구 광나루로 373 1층,(지번) 군자동 361-32,중화요리
25,STORE_GJ0026,순금이떡볶이,서울 광진구 자양로43길 43,(지번) 구의동 53-14,떡볶이
26,STORE_GJ0027,함흥본가면옥 건대점,서울 광진구 광나루로 456,(지번) 화양동 302-25,냉면
27,STORE_GJ0028,메이탄,서울 광진구 광나루로 590 아산빌딩 1층,(지번) 구의동 202-6,중화요리
28,STORE_GJ0029,롤링파스타 건대지점,서울 광진구 능동로 127 2층,(지번) 화양동 5-1,이탈리안
29,STORE_GJ0030,호야 본점,서울 광진구 능동로13길 36,(지번) 화양동 12-36,"초밥,롤"
30,STORE_GJ0031,오코노미야키식당하나,서울 광진구 능동로13길 111,(지번) 화양동 31-4,일식집
31,STORE_GJ0032,마초쉐프 건대점,서울 광진구 능동로 125 2층,(지번) 화양동 5-3,이탈리안
32,STORE_GJ0033,건대사시미,서울 광진구 아차산로33길 23,(지번) 화양동 8-92,회
33,STORE_GJ0034,체리커피,서울 광진구 능동로 284,(지번) 능동 282-1,커피전문점
34,STORE_GJ0035,안다즈커피,서울 광진구 천호대로132길 10 1층,(지번) 구의동 75-26,커피전문점
35,STORE_GJ0036,스시텐 강변점,서울 광진구 구의강변로 86 강변리치타워 101호,(지번) 구의동 214-6,"초밥,롤"
36,STORE_GJ0037,경양카츠 건대점,서울 광진구 동일로20길 60 ???????????? 1???,(지번) 자양동 10-45,"돈까스,우동"
37,STORE_GJ0038,매화반점 1호점,서울 광진구 동일로18길 105,(지번) 자양동 5-11,중화요리
38,STORE_GJ0039,모두랑,서울 광진구 자양로28길 24,(지번) 구의동 250-35,분식
39,STORE_GJ0040,대명소곱창,서울 광진구 능동로 298,(지번) 능동 279-2,"곱창,막창"
40,STORE_GJ0041,강릉엄지네꼬막집 구의역점,서울 광진구 아차산로 375 크레신타워3차 2층,(지번) 구의동 246-14,"해물,생선"
41,STORE_GJ0042,고기대통령 본점,서울 광진구 능동로 91 2층,(지번) 자양동 2-1,고기뷔페
42,STORE_GJ0043,라화쿵부 건대점,서울 광진구 아차산로30길 42,(지번) 자양동 9-5,중화요리
43,STORE_GJ0044,민벅 건대점,서울 광진구 능동로13길 39 한아름쇼핑센터 1층,(지번) 화양동 10-1,양식
44,STORE_GJ0045,최원석의돼지한판 광장점,서울 광진구 아차산로 478 1층,(지번) 구의동 199-15,"육류,고기"
45,STORE_GJ0046,가온,서울 광진구 아차산로78길 75 현대골든텔2차 106호,(지번) 광장동 102,국수
46,STORE_GJ0047,은혜즉석떡볶이,서울 광진구 광나루로 381-1 2층,(지번) 군자동 361-25,떡볶이
47,STORE_GJ0048,하이디라오코리아 건대점,서울 광진구 능동로 110 2층,(지번) 화양동 4-20,중화요리
