,place_code,ItemID,address,local,category
72,STORE_SD0073,본노엘,서울 성동구 상원길 64,(지번) 성수동1가 13-483,"제과,베이커리"
73,STORE_SD0074,본앤브레드 신관레스토랑,서울 성동구 마장로42길 1,(지번) 마장동 781-15,한식
74,STORE_SD0075,윤경,서울 성동구 아차산로 3 1층,(지번) 성수동1가 656-1683,"돈까스,우동"
75,STORE_SD0076,밀본,서울 성동구 아차산로 67-16 예당빌딩 1층,(지번) 성수동2가 300-80,국수
76,STORE_SD0077,목포산꽃게아구찜탕,서울 성동구 마장로 325,(지번) 마장동 767-41,"게,대게"
77,STORE_SD0078,스시이치바,서울 성동구 왕십리로14길 8,(지번) 성수동1가 656-971,"초밥,롤"
78,STORE_SD0079,왕십리육감식당,서울 성동구 무학봉28길 1 1층,(지번) 하왕십리동 966-20,"육류,고기"
79,STORE_SD0080,하노이102,"서울 성동구 서울숲6길 18 1,2층",(지번) 성수동1가 668-18,베트남음식
80,STORE_SD0081,인생한우,서울 성동구 마장로31길 43 영지빌딩 2층,(지번) 마장동 522-2,"육류,고기"
81,STORE_SD0082,슈퍼말차 성수,서울 성동구 서울숲6길 19,(지번) 성수동1가 668-9,카페
82,STORE_SD0083,옹근달,"서울 성동구 성수이로7길 41-1 1, 2층",(지번) 성수동2가 333-52,카페
83,STORE_SD0084,키커피컴퍼니,서울 성동구 왕십리로 269,(지번) 행당동 130-115,카페
84,STORE_SD0085,도치피자,서울 성동구 연무장길 7 1~2층,(지번) 성수동2가 301-58,피자
85,STORE_SD0086,몽련,서울 성동구 왕십리로10길 3,(지번) 성수동1가 656-1044,"육류,고기"
86,STORE_SD0087,카페포제,서울 성동구 연무장9길 7,(지번) 성수동2가 315-41,카페
87,STORE_SD0088,업사이드 뚝섬점,서울 성동구 왕십리로14길 19-1 1층,(지번) 성수동1가 7-8,카페
88,STORE_SD0089,하늘축산,서울 성동구 고산자로24길 11,(지번) 마장동 509-11,"육류,고기"
89,STORE_SD0090,버섯집,서울 성동구 왕십리로5길 9-10 1층,(지번) 성수동1가 668-34,한식
90,STORE_SD0091,카페온화 성수점,서울 성동구 아차산로 78 1층,(지번) 성수동2가 302-4,카페
91,STORE_SD0092,훔볼트,"서울 성동구 성수이로 58 P-Tower 지하 1층, 지상 1-2층",(지번) 성수동2가 325-19,디저트카페
92,STORE_SD0093,EERT,서울 성동구 서울숲2길 19-17 1층,(지번) 성수동1가 685-417,카페
93,STORE_SD0094,하루&원데이,서울 성동구 아차산로 92 광명타워 1층 103호,(지번) 성수동2가 314-5,카페
94,STORE_SD0095,은성보쌈,서울 성동구 독서당로 299-5,(지번) 금호동3가 375,"족발,보쌈"
95,STORE_SD0096,성수동간판없는집,서울 성동구 성수일로 59-1,(지번) 성수1가2동 14-70,국수
96,STORE_SD0097,서울앵무새,서울 성동구 서울숲9길 3 지하 1~2층,(지번) 성수동1가 685-213,테마카페
97,STORE_SD0098,차만다 서울숲점,서울 성동구 서울숲2길 28-12,(지번) 성수동1가 685-480,양식
98,STORE_SD0099,카페노티드 피치스,서울 성동구 연무장3길 9 1층,(지번) 성수동2가 301-16,디저트카페
99,STORE_SD0100,최영희언양불고기,서울 성동구 무학봉28길 21,(지번) 행당동 286-12,"불고기,두루치기"
100,STORE_SD0101,부원냉면,서울 성동구 장터길 39,(지번) 금호동3가 889,냉면
101,STORE_SD0102,묘사서울,서울 성동구 서울숲2길 2 2층,(지번) 성수동1가 685-486,카페
102,STORE_SD0103,새들러하우스 성수2호점,서울 성동구 성덕정11길 5-12,(지번) 성수동2가 333-97,카페
103,STORE_SD0104,스시메이 성수점,서울 성동구 연무장7길 7-1 2층,(지번) 성수동2가 316-1,"초밥,롤"
104,STORE_SD0105,와하카,서울 성동구 성수일로12길 29 1층,(지번) 성수동2가 299-225,"멕시칸,브라질"
105,STORE_SD0106,전자방,서울 성동구 성수일로12길 23,(지번) 성수동2가 299-157,중화요리
106,STORE_SD0107,양평회관,"서울 성동구 마조로7길 16 1,2층",(지번) 행당동 1-30,삼겹살
107,STORE_SD0108,난포,서울 성동구 서울숲4길 18-8 지층,(지번) 성수동1가 668-79,한식
108,STORE_SD0109,옥수해물찜칼국수,서울 성동구 독서당로40길 37 2층,(지번) 옥수동 560,한식
109,STORE_SD0110,맛차차,서울 성동구 서울숲2길 18-11,(지번) 성수동1가 685-450,카페
110,STORE_SD0111,벱,서울 성동구 성수일로4가길 2 1층,(지번) 성수동2가 321-21,베트남음식
111,STORE_SD0112,봉다방,서울 성동구 왕십리로21길 13-1 지하1~2층,(지번) 행당동 292-33,커피전문점
112,STORE_SD0113,오브코하우스,서울 성동구 서울숲6길 17 2층 2호,(지번) 성수동1가 668-8,카페
113,STORE_SD0114,교대이층집 성수점,서울 성동구 성수일로8길 60 2층,(지번) 성수동2가 300-39,"육류,고기"
114,STORE_SD0115,잇샐러드,서울 성동구 성수일로8길 28 1층,(지번) 성수동2가 300-8,양식
115,STORE_SD0116,고깃집왕고을,서울 성동구 왕십리로24길 10-2 1층,(지번) 도선동 152-1,"육류,고기"
116,STORE_SD0117,로컬릿,서울 성동구 한림말길 33 2층,(지번) 옥수동 201-1,이탈리안
117,STORE_SD0118,부부요리단,서울 성동구 독서당로40길 25-1 1층,(지번) 옥수동 392,한식
