Address (Store1),Address (Store1) - 분할 2,Catrgory Code (Store1),Local Code (Store1),Store Code (Store1),Store Name (Store1)
서울 성동구 왕십리로14길 7 1층,성동구,테마카페,(지번) 성수동1가 656-1766,STORE_SD00326,프라이데이무브먼트
서울 성동구 행당로8길 9,성동구,갈비,(지번) 행당동 322-21,STORE_SD00327,마포갈비생등심
서울 성동구 서울숲2길 11-7,성동구,갤러리카페,(지번) 성수동1가 685-493,STORE_SD00328,알비
서울 성동구 무학로2길 11,성동구,닭요리,(지번) 도선동 342,STORE_SD00329,왕십리닭내장탕
서울 성동구 연무장길 56,성동구,일식집,(지번) 성수동2가 321-89,STORE_SD00330,달아래면
서울 성동구 왕십리로24길 13 1층,성동구,"돈까스,우동",(지번) 도선동 201-3,STORE_SD00331,돈까스전원
서울 성동구 왕십리로2길 34 1층,성동구,양식,(지번) 성수동1가 656-1661,STORE_SD00332,목금
서울 성동구 왕십리로4길 28-2,성동구,한식,(지번) 성수동1가 8-16,STORE_SD00333,성수삐딱
서울 성동구 성수일로3길 1,성동구,카페,(지번) 성수동1가 656-59,STORE_SD00334,커피오스 본점
서울 성동구 왕십리로5길 12,성동구,갈비,(지번) 성수1가2동 656-939,STORE_SD00335,늘봄숯불갈비
서울 성동구 마조로 33 1층,성동구,양꼬치,(지번) 행당동 3-27,STORE_SD00336,동방양꼬치
서울 성동구 동일로 139 3층,성동구,일식,(지번) 성수동2가 279-39,STORE_SD00337,기후 보양다이닝
서울 성동구 고산자로12길 2,성동구,갈비,(지번) 행당동 243-1,STORE_SD00338,마당쇠돼지갈비 왕십리점
서울 성동구 성덕정9가길 6 1층,성동구,샌드위치,(지번) 성수동1가 275-5,STORE_SD00339,큐뮬러스
서울 성동구 청계천로 494 청계벽산상가 1층,성동구,"육류,고기",(지번) 하왕십리동 258,STORE_SD00340,미스터박의돈워리
서울 성동구 왕십리로 410 센트라스,성동구,커피전문점,(지번) 상왕십리동 54-35,STORE_SD00341,스타벅스 황학사거리점
서울 성동구 광나루로8길 31 성수SKV1 2동 1층 101호,성동구,커피전문점,(지번) 성수동2가 281-18,STORE_SD00342,스타벅스 성수낙낙
서울 성동구 왕십리로10길 10-1 1층,성동구,국밥,(지번) 성수동1가 656-481,STORE_SD00343,부산돼지국밥밀면
서울 성동구 연무장3길 8-27 1층,성동구,"돈까스,우동",(지번) 성수동2가 302-13,STORE_SD00344,춘하추우동
서울 성동구 무학로2길 37,성동구,"족발,보쌈",(지번) 도선동 211,STORE_SD00345,달인의족발 본점
서울 성동구 무수막길 89 2층,성동구,갈비,(지번) 금호동2가 464,STORE_SD00346,마포숯불갈비
서울 성동구 상원2길 1 지하1층,성동구,일식,(지번) 성수동1가 14-46,STORE_SD00347,마구로쇼쿠도
서울 성동구 마조로 9 2층,성동구,디저트카페,(지번) 행당동 19-100,STORE_SD00348,설빙 한양대점
서울 성동구 왕십리로 382,성동구,커피전문점,(지번) 하왕십리동 1070-3,STORE_SD00349,스타벅스 상왕십리역
서울 성동구 연무장길 41-26 지하 1층,성동구,"해물,생선",(지번) 성수동2가 316-22,STORE_SD00350,성수부두
서울 성동구 용답중앙15길 5-1,성동구,"불고기,두루치기",(지번) 용답동 57-5,STORE_SD00351,통돼지두루치기&김치찌개전문점
서울 성동구 왕십리로 108 3층,성동구,와인바,(지번) 성수동1가 656-1069,STORE_SD00352,미도림
서울 성동구 서울숲2길 32-14 갤러리아포레 상가 A동 1층 103호,성동구,햄버거,(지번) 성수동1가 685-696,STORE_SD00353,버거점프
서울 성동구 왕십리로 318,성동구,"호프,요리주점",(지번) 도선동 45,STORE_SD00354,더냄비
서울 성동구 연무장11길 15 청운재빌딩 1층,성동구,커피전문점,(지번) 성수동2가 317-4,STORE_SD00355,언커먼그라운드
서울 성동구 서울숲2길 46-10 2층,성동구,와인바,(지번) 성수동1가 668-138,STORE_SD00356,성수골목
서울 성동구 상원1길 41 1층,성동구,한식,(지번) 성수동1가 8-18,STORE_SD00357,힘냉면록
서울 성동구 아차산로 113,성동구,일식,(지번) 성수동2가 300-1,STORE_SD00358,미도
서울 성동구 마조로 15-10 1층,성동구,"족발,보쌈",(지번) 행당동 19-97,STORE_SD00359,장모족발 서울한양대점
서울 성동구 성수일로4길 31-1,성동구,카페,(지번) 성수동2가 333-72,STORE_SD00360,커피오스
서울 성동구 무학봉길 66 1층,성동구,커피전문점,(지번) 하왕십리동 979-9,STORE_SD00361,프롬하츠커피 하왕십리점
서울 성동구 연무장5가길 25,성동구,커피전문점,(지번) 성수동2가 315-61,STORE_SD00362,투썸플레이스 성수SKV타워점
서울 성동구 성수일로11길 11,성동구,중화요리,(지번) 성수동1가 13-187,STORE_SD00363,봉짬뽕
서울 성동구 연무장길 47 1층,성동구,술집,(지번) 성수동2가 315-55,STORE_SD00364,나누리잡화점
서울 성동구 상원12길 19,성동구,카페,(지번) 성수동1가 13-248,STORE_SD00365,가비당
서울 성동구 무학로2나길 1 1층,성동구,"육류,고기",(지번) 도선동 185-77,STORE_SD00366,갈매기의 꿈 본점
서울 성동구 왕십리로 345,성동구,중식,(지번) 하왕십리동 959-24,STORE_SD00367,일일향
서울 성동구 마조로7길 13,성동구,칵테일바,(지번) 행당동 3-7,STORE_SD00368,더버킷리스트 2호점
서울 성동구 왕십리로 291-2,성동구,"육류,고기",(지번) 행당동 267-17,STORE_SD00369,고기를품다 왕십리직영점
서울 성동구 성수일로 47 1층,성동구,한식,(지번) 성수동1가 16-8,STORE_SD00370,순남시래기 서울숲역점
서울 성동구 마조로1가길 6,성동구,카페,(지번) 행당동 4-17,STORE_SD00371,10페이지 한양대1호점
서울 성동구 마조로3가길 18,성동구,"육류,고기",(지번) 행당동 19-43,STORE_SD00372,김부삼 한양대점
서울 성동구 상원길 17,성동구,"곱창,막창",(지번) 성수동1가 11,STORE_SD00373,삽다리곱창
서울 성동구 마조로19길 7,성동구,"육류,고기",(지번) 마장동 797-90,STORE_SD00374,심가네한우고집 마장본점
서울 성동구 아차산로13길 2 3층,성동구,디저트카페,(지번) 성수동2가 277-138,STORE_SD00375,언포겟
서울 성동구 왕십리로 410,성동구,"초밥,롤",(지번) 상왕십리동 297,STORE_SD00376,다온스시
서울 성동구 왕십리로20길 18,성동구,"육류,고기",(지번) 도선동 16-2,STORE_SD00377,돈구어
서울 성동구 왕십리로31가길 31,성동구,추어,(지번) 하왕십리동 946-39,STORE_SD00378,산수골
서울 성동구 한림말3길 14 1층,성동구,"제과,베이커리",(지번) 옥수동 362-3,STORE_SD00379,모찌모찌브레드
서울 성동구 마조로3길 6,성동구,양식,(지번) 행당동 19-112,STORE_SD00380,브릭레인
서울 성동구 행당로17길 7,성동구,오리,(지번) 행당동 317-1329,STORE_SD00381,왕십리오리사냥
서울 성동구 왕십리로 309 왕십리역이스타빌 1층 107호,성동구,"족발,보쌈",(지번) 행당동 287-9,STORE_SD00382,홍능족발1977 2호점
서울 성동구 장터길 27-1 1층,성동구,베트남음식,(지번) 금호동3가 1295,STORE_SD00383,베쌀집
서울 성동구 장터길 47,성동구,"곱창,막창",(지번) 금호동3가 799,STORE_SD00384,진미곱창
서울 성동구 마조로1길 2,성동구,"멕시칸,브라질",(지번) 행당동 20-17,STORE_SD00385,도스마스 서울한양대점
서울 성동구 독서당로40길 33 2층,성동구,"호프,요리주점",(지번) 옥수동 377-5,STORE_SD00386,척스탭하우스
서울 성동구 마장로 297 1층,성동구,갈비,(지번) 마장동 772-8,STORE_SD00387,통통식당
서울 성동구 성수이로7길 38,성동구,"족발,보쌈",(지번) 성수동2가 310-67,STORE_SD00388,그믐족발
서울 성동구 성수이로7길 7 서울숲한라시그마밸리 1층 102호,성동구,국수,(지번) 성수동2가 333-15,STORE_SD00389,이랑닭한마리칼국수
서울 성동구 서울숲길 37 1층,성동구,햄버거,(지번) 성수동1가 685-405,STORE_SD00390,co.190
