,place_Code,ItemID,address,local,category
274,STORE_GC0275,명동칼국수,서울 금천구 벚꽃로 278 SJ테크노빌 패션아일랜드 지하 154호,(지번) 가산동 60-19,국수
275,STORE_GC0276,노브랜드버거 시흥사거리점,"서울 금천구 시흥대로 224 금천리메인시티 1층 105,106호",(지번) 시흥동 883-11,패스트푸드
276,STORE_GC0277,교촌치킨 독산1호점,서울 금천구 독산로 344,(지번) 독산동 961-10,치킨
277,STORE_GC0278,돈장군주먹고기 시흥1호점,서울 금천구 시흥대로56길 17,(지번) 시흥동 888-12,"육류,고기"
278,STORE_GC0279,BHC치킨 독산맛나거리점,서울 금천구 시흥대로122길 22,(지번) 독산동 1013-8,치킨
279,STORE_GC0280,홍콩반점0410 독산홈플러스점,서울 금천구 시흥대로 405 2층,(지번) 독산동 289-7,중화요리
280,STORE_GC0281,백채김치찌개 가산디지털단지점,서울 금천구 가산디지털2로 98 롯데IT캐슬 1차 2동 110-3호,(지번) 가산동 371-18,"찌개,전골"
281,STORE_GC0282,모두국밥 독산점,서울 금천구 시흥대로123길 7,(지번) 독산동 289-6,국밥
282,STORE_GC0283,땅스부대찌개 시흥현대시장점,서울 금천구 독산로39길 21,(지번) 시흥동 852-11,"찌개,전골"
283,STORE_GC0284,동대문엽기떡볶이 금천시흥점,서울 금천구 시흥대로50길 9 2층,(지번) 시흥동 890-15,떡볶이
284,STORE_GC0285,카페자리,서울 금천구 독산로77길 39,(지번) 독산동 197-1,카페
285,STORE_GC0286,마피아피자앤펍,서울 금천구 시흥대로 291,(지번) 독산동 1155,피자
286,STORE_GC0287,대호정,서울 금천구 시흥대로52길 51,(지번) 시흥동 889-2,갈비
287,STORE_GC0288,와플산도,서울 금천구 가산디지털1로 181 가산 더블유센터 1층,(지번) 가산동 371-106,디저트카페
288,STORE_GC0289,개돼지펍,서울 금천구 벚꽃로38길 32-67,(지번) 가산동 83-27,"호프,요리주점"
289,STORE_GC0290,비엔나커피하우스 가산디지털단지점,서울 금천구 가산디지털1로 171 SK V1센터 2층 201호,(지번) 가산동 371-41,커피전문점
290,STORE_GC0291,을지로통일집,"서울 금천구 벚꽃로 286 삼성리더스타워 지하1층 118, 119호",(지번) 가산동 60-15,"육류,고기"
291,STORE_GC0292,플러버,서울 금천구 시흥대로 291 롯데캐슬골드파크3차 WEST동 2층 208호,(지번) 독산동 441-14,양식
292,STORE_GC0293,카페타일링,서울 금천구 시흥대로150길 11-7,(지번) 독산동 967-7,카페
293,STORE_GC0294,강셰프양꼬치,서울 금천구 벚꽃로38길 32-63,(지번) 가산동 83-28,양꼬치
294,STORE_GC0295,새마을식당 가산점,서울 금천구 가산디지털1로 168 우림라이온스빌딩 A동 210호,(지번) 가산동 371-28,"육류,고기"
295,STORE_GC0296,꾸미,서울 금천구 가산디지털1로 142 더스카이밸리 1층 130호,(지번) 가산동 371-57,"해물,생선"
296,STORE_GC0297,꽃히다,서울 금천구 가산디지털1로 168 우림라이온스밸리 A동 221호,(지번) 가산동 371-28,일본식주점
297,STORE_GC0298,협진식당 5호점,서울 금천구 범안로21길 17,(지번) 독산동 293-29,한식
298,STORE_GC0299,할리스 가산점,서울 금천구 가산디지털2로 165 백상스타타워2 1층 5호,(지번) 가산동 459-22,커피전문점
299,STORE_GC0300,후라이드참잘하는집 독산점,서울 금천구 독산로84길 9,(지번) 독산동 991-19,치킨
300,STORE_GC0301,농협안심한우마을 독산점,서울 금천구 두산로 59,(지번) 독산동 299-32,"육류,고기"
301,STORE_GC0302,혜화동돈까스극장 서울가산점,서울 금천구 디지털로12길 37 가산피어니빌 1층 102호,(지번) 가산동 143-20,"돈까스,우동"
302,STORE_GC0303,투썸플레이스 현대지식산업센터점,서울 금천구 두산로 70 1층 T-122호,(지번) 독산동 291-1,커피전문점
303,STORE_GC0304,청석골 감자탕 순대국,서울 금천구 독산로 351,(지번) 독산동 959-9,감자탕
304,STORE_GC0305,더제이케이키친박스 가산디지털점,서울 금천구 가산디지털1로 145 에이스하이엔드타워 3차 111호,(지번) 가산동 371-50,이탈리안
305,STORE_GC0306,배스킨라빈스 금천롯데캐슬점,서울 금천구 시흥대로 315 금천롯데캐슬 마르쉐도르960 1층,(지번) 독산동 1156,아이스크림
306,STORE_GC0307,비어드파파 가산디지털점,서울 금천구 가산디지털1로 145 에이스하이엔드타워3차 1층,(지번) 가산동 371-50,디저트카페
307,STORE_GC0308,정돈,서울 금천구 시흥대로52길 52,(지번) 시흥동 888,"육류,고기"
308,STORE_GC0309,죠스떡볶이 가산디지털점,서울 금천구 벚꽃로 298 대륭포스로 6차 1층 102호,(지번) 가산동 50-3,떡볶이
309,STORE_GC0310,장봉덕공방,서울 금천구 시흥대로50길 34,(지번) 시흥동 901-27,"제과,베이커리"
310,STORE_GC0311,디저트39 독산사거리점,서울 금천구 시흥대로 421 서울바른세상병원 1층,(지번) 독산동 288-2,디저트카페
311,STORE_GC0312,동남부대찌개,서울 금천구 가산디지털1로 151,(지번) 가산동 371-47,"찌개,전골"
312,STORE_GC0313,투썸플레이스 가산로데오점,서울 금천구 벚꽃로 254,(지번) 가산동 60-24,커피전문점
313,STORE_GC0314,푸라닭치킨 시흥점,서울 금천구 금하로23길 40,(지번) 시흥동 825,치킨
314,STORE_GC0315,조선짬뽕,서울 금천구 독산로 85,(지번) 시흥동 841-7,중식
