,review_code,place_code,ItemID,UserID,review,Rating,Timestamp
797,GC000798,STORE_GC0181,명화곱창,bkmq24,곱창 모둠 33,3,2018.12.21.
798,GC000799,STORE_GC0181,명화곱창,sgbfmp,곱창이 이리 맛없구나 싶음;,1,2018.11.09.
799,GC000800,STORE_GC0181,명화곱창,fkueli,NaN,3,2018.04.19.
800,GC000801,STORE_GC0181,명화곱창,104ba8h,곱창 보통은 한다!  간단하게 한잔.,3,2017.02.20.
801,GC000802,STORE_GC0181,명화곱창,bfim3m,NaN,3,2016.08.27.
802,GC000803,STORE_GC0182,명가네삼겹살,15qmghb,육회비빔밥은 별로 콩나물 계란국이 ㄹㅇ 진국  사장님 친절,3,2021.07.09.
803,GC000804,STORE_GC0182,명가네삼겹살,1d5u99q,맛있게 먹었습니다! 삼겹살 굿!,5,2020.11.26.
804,GC000805,STORE_GC0182,명가네삼겹살,12m7a46,진짜 맛있습니다 김치 꼭 구워드세요,5,2020.11.08.
805,GC000806,STORE_GC0182,명가네삼겹살,upk7jp,역시나 맛이 없음,1,2020.06.25.
806,GC000807,STORE_GC0183,배스킨라빈스 금천가산점,kh84b3,7월 10일 17시 알바생 교육좀 시키세요 패밀리 사이즈 시켯는데 아이스 딸랑 하나 넣어주고 얼마나 머냐고 묻지도 않네요 엄청 불친절합니다,1,2021.07.10.
807,GC000808,STORE_GC0183,배스킨라빈스 금천가산점,d04fqt,여기 애플민트 있어여ㅜㅜㅜㅜㅠㅠ♥ ,5,2021.06.18.
808,GC000809,STORE_GC0183,배스킨라빈스 금천가산점,mci057,평일 오후 남자알바생 불친절.. ,1,2021.05.08.
809,GC000810,STORE_GC0183,배스킨라빈스 금천가산점,g7lti4,여기에 불만쓰는사람 특) 본인한텐 세상에서 제일관대함,5,2020.03.31.
810,GC000811,STORE_GC0183,배스킨라빈스 금천가산점,l4qust,여기 일처리 노답...주문하고 한시간넘게 기다렸는데 취소함. 바로 취소해줬으면 다른 지점에 시켰을 텐데 이미 다른 곳들 영업 다 끝나서 주문도 못하게 만듬,1,2020.03.17.
811,GC000812,STORE_GC0184,도미노피자 시흥점,rr8dj1,"특별히 맛이 떨어지지도 않고,특별히 더 맛있지도 않은.보통",4,2020.12.05.
812,GC000813,STORE_GC0184,도미노피자 시흥점,dj7ssb,"받은 피자-주문한 피자 오랜만에 시켰는데 누가 토핑 훔쳐갔나 싶을 정도. 참고로 주문한 피자에 치즈추가, 페퍼로니, 옥수수 추가한겁니다. ",1,2020.07.12.
813,GC000814,STORE_GC0184,도미노피자 시흥점,17fjl9n,리뷰가 왜 안좋은지 모르겠어요 피자 너무 맛나요 직원들도 친절하고 그래서 그런지 피자가 더 맛있습니당~^^,5,2020.04.02.
814,GC000815,STORE_GC0184,도미노피자 시흥점,9kobl5,NaN,5,2020.02.19.
815,GC000816,STORE_GC0184,도미노피자 시흥점,147sssh,"별점 처음 매겨 봅니다. 화나서요. 비주얼은 오다가 뒤집혔나? 했고요. 두 시간 지난 피자 받은 것 같았고, 토핑도 적은데 치즈는 아예없는 느낌... 사진이라도 찍어놓을걸 했는데 밑에 이미 인증이 많네요. 도미도 시흥점 때문에 다신 도미노 안먹습니다. 차라리 오뚜기 냉동피자 사먹는게 나을 것 같네요. 피자헛 화이팅! 미피 흥해라!",1,2019.11.19.
816,GC000817,STORE_GC0185,프랑세즈과자점,kb4m89,보통의 동네빵집보다 약간 더 맛있는 수준입니다. 하도 요즘 카페니 빵집이니 다 고급 빵이 많이 나와서 입맛이 많이 고급화 된거같아요. 그래서 그런지 만족은 안되지만 그래도 실망까진 안할수 있는 빵집! 빙수도 그럭저럭 보통이었어요 ㅎㅎ 기계가 귀여워서 시켜봤는데 ㅎㅎ,3,2021.07.30.
817,GC000818,STORE_GC0185,프랑세즈과자점,7voh3a,탑입니다.. 말이 필요 없습니다.. 겁나 맛있습니다..,5,2021.06.05.
818,GC000819,STORE_GC0185,프랑세즈과자점,18766nc,"맛없지도 맛있지도 않고 평범해요.  여름에 갔었는데, 빵위로 파리 3~4마리가 날라다녔고, 어떤 빵위에는 큰 파리가 앉아있기도 했어요. 빵 진열할때 포장이나 뚜껑을 없 진열하지 않았으면 좋겠어요.",2,2021.04.28.
819,GC000820,STORE_GC0185,프랑세즈과자점,fbcnu7,최애빵집! 시금치치아바타와 단호박빵은 단연 최고입니다~!!!!!!,5,2020.11.01.
820,GC000821,STORE_GC0185,프랑세즈과자점,11ro8ft,마카로나쥬를 아예 안하나여...?2천원이나 하는 마카롱이 너무 엉망이에요ㅠㅠ 다른빵은 어떨지 모르겠는데 마카롱은 아예 안파는게 나을정도에요....천원짜리 마카롱만도 못해요 ㅠ 너무먹고싶어서 한참 걸어서 갔는데 너무 열받네요....따잇,1,2020.09.07.
821,GC000822,STORE_GC0186,순풍훠궈,14g3n5j,맛있네여,5,2020.07.10.
822,GC000823,STORE_GC0186,순풍훠궈,18fv0rb,먹고있는데 옆에서 시끄럽게 설거지 하고 있어요...소리가 너무 커서 시끄러워요,1,2020.05.15.
823,GC000824,STORE_GC0186,순풍훠궈,n03si0,중국인분이 운영하시고 위치가 대림이랑 가까워서 중국분들이 많이 오시는듯하고 엄청 친절하시고 잘 챙겨주세요 서비스도 주시구요  정말 잘 먹고왔습니다!!,5,2019.06.28.
824,GC000825,STORE_GC0187,항방양육관 시흥점,96ssrj,그래두 이동네 이사와서 양꼬치는 여기서 먹기좋드라구요,4,2020.02.26.
825,GC000826,STORE_GC0187,항방양육관 시흥점,nn3mh0,여기 먹다 딴 데 가면 실망해요,5,2019.11.16.
826,GC000827,STORE_GC0187,항방양육관 시흥점,nflj2q,NaN,4,2019.08.08.
827,GC000828,STORE_GC0187,항방양육관 시흥점,mh362n,맛이 좋음. 또 갔음. 또 갈거임. ,5,2018.09.03.
828,GC000829,STORE_GC0188,청년다방 금천구청점,7mkutk,괜찮아요. 떡볶이 맛있게 잘먹었어요.,4,2021.03.09.
829,GC000830,STORE_GC0188,청년다방 금천구청점,14ndk0c,깔끔하고 양도 적당하고 맛있습니다.,5,2020.10.18.
830,GC000831,STORE_GC0188,청년다방 금천구청점,14v30m0,테이블 간격이 좁다는게 좀 불편하지만 그래도 맛있어요...,5,2020.08.18.
831,GC000832,STORE_GC0188,청년다방 금천구청점,lktaar,청년다방은 어딘들... 맛있어요!,5,2020.07.27.
832,GC000833,STORE_GC0188,청년다방 금천구청점,kid818,9시쯤부터 밥이 없다고함. 마감시간에 가깝다고 밥안하는거..ㅋㅋㅋ ,1,2019.12.07.
833,GC000834,STORE_GC0189,투뿔205,1ee9hvj,점심때 왔는데 여자남자 음식양 다르게 줍니다  여자는 남자꺼에 70% 정도 주네요.  가격은 똑같고  다신 안옵니다. ,1,2020.12.11.
834,GC000835,STORE_GC0189,투뿔205,vcc55l,코로나 때문인지 고기 안구워주십니다 회식 갔는데 서비스가 좀 별로였습니다,1,2020.09.25.
835,GC000836,STORE_GC0189,투뿔205,bejvus,고기부심 있는데 그럴만한 퀄리티 구워주심 회식추천 예약하고와야할듯,5,2019.12.19.
836,GC000837,STORE_GC0189,투뿔205,tfuqq6,NaN,5,2018.12.20.
837,GC000838,STORE_GC0189,투뿔205,NaN,NaN,5,2017.06.05.
838,GC000839,STORE_GC0190,팔람까오 가산2호점,sfng7q,NaN,5,2019.01.22.
839,GC000840,STORE_GC0191,신선설농탕 독산점,14lc5j6,직원분의 태도에 심히 불쾌함을 느꼈습니다  생긴 겉모습만 보고 고기설렁탕을 시키라는 식으로 이야기 하시는지  주문벨이 울렸음에도 테이블에 오시기는 커녕 세번정도 멀리서 주문하세요 라고 하시는 말투가 신경질적이셨습니다  누가 주문했는지 테이블 오지 않고서도 아시나보네요 맛은 둘째치고 응대태도에 불쾌함을 느끼고 갑니다 금천동을 와도 여기는 안올거 같네요 ,1,2021.06.21.
840,GC000841,STORE_GC0191,신선설농탕 독산점,g6ueuc,"지난 석탄일에 설렁탕 포장해서 먹었다가 부부가 같이 식중독으로 두드러기가 온몸에 나서 몇일을 가려움에 고생했습니다. 두드러기 사진도 찍어뒀지만 올리지는 않겠습니다만, 음식 장사 하려면 기본적으로 음식 위생 관리좀 똑바로 해라.",1,2021.05.24.
841,GC000842,STORE_GC0191,신선설농탕 독산점,n5ejak,설농탕 대자 시켰는데 소자랑 뭐가 다른건지.. 공기밥도 대자는 작은 공기밥 더 나온다는데 달라고 말하니까 챙겨줌. 맛도 곰국맛.,1,2021.04.29.
842,GC000843,STORE_GC0191,신선설농탕 독산점,19cqhhj,"자세히설명드리자면 설렁탕국물에 파우수수 소고기슬라이스4,5조각인 파국입니다.  가지마세요 음식은시킨지5초만에나옴",1,2021.03.02.
843,GC000844,STORE_GC0191,신선설농탕 독산점,e4mkcq,친절해요...    맛이야 체인점이니 그맛이죠...,4,2017.12.25.
844,GC000845,STORE_GC0192,서울집 독산점,1b8sn7j,고기를 직접 구워주셔서 편했고 맛있어여b 반찬 구성도 좋고 하나같이 맛있었던ㅠ 고기땡기는날 또 가려구여,5,2020.11.12.
845,GC000846,STORE_GC0192,서울집 독산점,7ki1sn,갈비살은 못먹는 부위가 대부분이고 9시에 갔는데 손님 밥먹는데 계속 빗자루질. 왜 사람이 없는지 실감이 난다.,1,2019.08.11.
846,GC000847,STORE_GC0192,서울집 독산점,10o8u7b,"맛있어요! 근데 신림동 서울갈비가 양념이 더 맛있는듯, 찬은 여기가 잘 나와용",4,2018.08.15.
847,GC000848,STORE_GC0193,동남집,g6kl0d,곰탕 맛있음,4,2020.12.16.
848,GC000849,STORE_GC0193,동남집,1355os6,잘 먹었습니다. 맛있어요!,5,2019.12.03.
849,GC000850,STORE_GC0193,동남집,95cb1m,겁나 불친절  첫째날: 육개장 담백하니 맛있게 먹었어요. 소면도 주니 배터지게 먹을 수 있음..  둘째날: 양지곰탕 맛은 있으나 밥이 오래되서 쉰내 났음.,1,2018.11.22.
850,GC000851,STORE_GC0193,동남집,NaN,귿~,5,2018.10.07.
851,GC000852,STORE_GC0193,동남집,NaN,NaN,4,2018.02.06.
852,GC000853,STORE_GC0194,BHC치킨 디지털점,1hsj6of,먹다  깜짝  놀랐습니다... 누가  맛보고   보내신건지...ㅡㅡ 기분좋게  신나게  먹다가...  찝찝하여  다 접었네요...   바뀌달라하잔니.. 먹은것이  반이고... 누군지  잡고싶네요...,1,2021.06.22.
853,GC000854,STORE_GC0194,BHC치킨 디지털점,beoe3m,화요일 오후 6시 39분에 주문한 치킨 한마리가 .... 현재 시간 7시 55분까지 오고 있지 않네요. 가게와 거리는 600미터 남짓한 거리로 가까운데 전화해보니 15분안에 온다는 데 .. ..휴,1,2021.06.01.
854,GC000855,STORE_GC0194,BHC치킨 디지털점,7kn1a9,전화 친절히 받아주시고 기프티콘 메뉴 변경 가능하게 해주시고 너무 좋음!!,5,2021.05.05.
855,GC000856,STORE_GC0194,BHC치킨 디지털점,n2viqt,친절하시구 맛도좋아욥,5,2021.04.23.
856,GC000857,STORE_GC0194,BHC치킨 디지털점,7mkutk,인터넷으로 포장 주문하면 시간 맞춰서 전화주심. 주변 치킨집 중에 제일 맛있음.,4,2021.03.09.
857,GC000858,STORE_GC0195,오복식당,18aj8fj,내장을 섞어달라고했지 순대를 빼달라고 한건 아니었는데..순대국 시켜놓고 순대 맛도 못봤네요,1,2021.05.14.
858,GC000859,STORE_GC0195,오복식당,n09hnn,느끼함,2,2021.01.12.
859,GC000860,STORE_GC0195,오복식당,vp3ffe,"마늘맛, 편육, 양념장, 갓김치 굿",4,2021.01.02.
860,GC000861,STORE_GC0195,오복식당,nqi4cb,24시간이라 갔는데 순대국 뼈 둘다맞없음,1,2020.08.13.
861,GC000862,STORE_GC0195,오복식당,13n3fg9,양도 많고 맛도 좋음 ,4,2020.05.10.
862,GC000863,STORE_GC0196,샐러드로,ne6aqf,사장님 젊고 친절합니다 단골 유지 잘하는 찐 가게,5,2021.07.12.
863,GC000864,STORE_GC0196,샐러드로,1bfh5f3,말해뭐해...bb,5,2021.05.07.
864,GC000865,STORE_GC0196,샐러드로,t5pv4m,존맛! 다필요없고 이집샐러드 진심 존맛!!,5,2021.04.04.
865,GC000866,STORE_GC0196,샐러드로,benk3h,남자사장님 왜 이렇게 불친절할까요...근방에 샐러드집이 없어서 어쩔 수 없이 가지만 참 먹으러 갈 때마다 기분이 좋지 않습니다.,1,2021.03.17.
866,GC000867,STORE_GC0196,샐러드로,10hmfe3,매번 느끼지만 남자사장 싸가지 ○○○없네,1,2020.11.24.
867,GC000868,STORE_GC0197,빽다방 가산대륭점,1a2upcs,"아침부터 쌀쌀맞은 직원 만나는 건 아닐까 걱정을 하고 들어섰는데 인사도 밝게 해주시고, 메뉴 고르는거까지 기다려주시고 나오면서 기분이 매우 좋았다! ",5,2021.06.17.
868,GC000869,STORE_GC0197,빽다방 가산대륭점,157rdrf,사장님이 친절하시고 맜있있었다.,5,2021.06.08.
869,GC000870,STORE_GC0197,빽다방 가산대륭점,108djvh,ㅋㅋㅋㅋㅋㅋ,1,2021.02.28.
870,GC000871,STORE_GC0197,빽다방 가산대륭점,115g80l,19년 06월 23일 방문  여자직원 표정부터 말투까지 개짜증모드 내가 남친인가? 부모인가? 내가 아르바이트생 짜증도 들어줘야하나?,1,2019.06.25.
871,GC000872,STORE_GC0197,빽다방 가산대륭점,7p67mb,아메리카노에서 이상한 맛이 나서 버렸습니다... 원두 보관에 신경을 쓰셔야할듯합니다.,1,2018.08.19.
872,GC000873,STORE_GC0198,명륜진사갈비 시흥사거리점,18npg6d,가본 다른 지점들보다 고기질도 좋았고 서비스도 좋았습니다. 가성비 갑,5,2021.05.03.
873,GC000874,STORE_GC0198,명륜진사갈비 시흥사거리점,u0spnd,맛잇어용 단짠단짠 오늘 인생 무한으로 먹어보자 했지만 두번 시키고 물려버리긴 했어용 ㅎㅎ 어디선가 자꾸 하수구 냄새나서 괴로웠어용^^,5,2020.06.30.
874,GC000875,STORE_GC0198,명륜진사갈비 시흥사거리점,12hugel,고기 리필해달라고 하면 목살만 주더라구요. 갈비 달라고 하면 계속 되물어서 고기 리필해달라구요. 하면 목살을 줬어요. 테이블간 간격이 매우 좁아서 옆 테이블 사람이 계속 우리 테이블 사람 일어날때마다 의자를 손으로 신경질적으로 밀었어요. 제가 본 것만 3차례. 우린 우리 테이블 안에서만 있었고 옆자리 사람은 거의 모서리 부분까지 의자가 우리쪽에 붙어있었구요...,1,2020.06.16.
875,GC000876,STORE_GC0199,수뿌레닭갈비 금천구청점,jti6dn,반찬재사용 이게 손안댄 처음나온 모습 주문받는 아주머니 주문 정신없게받음,1,2019.09.09.
876,GC000877,STORE_GC0199,수뿌레닭갈비 금천구청점,mbp6m3,특이한맛에 걍 한번쯤 먹어볼만은 함,3,2018.08.22.
