,ItemID,address,local,category
131,야래향,서울 양천구 목동중앙서로 46,(지번) 목동 799-5,중화요리
132,목동육간,서울 양천구 목동동로 222-3,(지번) 목동 406-111,"육류,고기"
133,요녀석 화곡점,서울 강서구 곰달래로60길 41,(지번) 화곡동 782-7,양식
134,미스터피자 목동중앙점,서울 양천구 등촌로 2 가인빌딩 1층,(지번) 목동 807-5,피자
135,라멘트럭 목동점,서울 양천구 오목로54길 9,(지번) 목동 405-334,일본식라면
136,이치마구로,서울 양천구 오목로 331 2층,(지번) 목동 406-184,참치회
137,굽네치킨 목4동점,서울 양천구 목동중앙남로 12,(지번) 목동 764-5,치킨
138,토마틸로 현대41타워점,서울 양천구 목동동로 293,(지번) 목동 917-9,"멕시칸,브라질"
139,2000냥하우스,서울 강서구 곰달래로 266 2층,(지번) 화곡동 779-6,실내포장마차
140,대구반야월막창 목동사거리점,서울 강서구 곰달래로60길 7,(지번) 화곡동 781-11,"곱창,막창"
141,교촌치킨 목동오거리점,서울 양천구 목동로 230 목동아이파크상가 102호,(지번) 목동 940,치킨
142,라무진 목동역점,서울 양천구 신정중앙로 88 1층,(지번) 신정동 904-8,"육류,고기"
143,크리스피크림도넛 오목교점,서울 양천구 오목로 300 하이페리온2차 206동 1층,(지번) 목동 961-1,도넛
144,투썸플레이스 목동하이페리온점,서울 양천구 오목로 300 목동하이페리온2차 205동 102호,(지번) 목동 961,커피전문점
145,맘스터치 목동2호점,서울 양천구 등촌로 62-1,(지번) 목동 782-1,패스트푸드
146,대박집,서울 양천구 등촌로 46,(지번) 목동 788-1,한식
147,다시국수,서울 양천구 등촌로 56-1,(지번) 목동 783-4,국수
148,교담집 목동본점,서울 양천구 목동동로 260 양지타운 2층 201호,(지번) 목동 406-203,"육류,고기"
149,프랭크버거 목동점,서울 양천구 목동서로 57 현대파리지앙 104호,(지번) 목동 907-10,햄버거
150,배스킨라빈스 목동역점,서울 양천구 목동로 210,(지번) 목동 810-1,아이스크림
151,미분당 목동점,서울 양천구 목동서로 170 1층,(지번) 목동 919-7,베트남음식
152,탐앤탐스 목동사거리점,서울 강서구 등촌로 19 수남빌딩 2층,(지번) 화곡동 781-4,커피전문점
153,바다다,서울 양천구 목동중앙서로1길 11,(지번) 목동 792-8,한식
154,돈까스짱 목동남부시장점,서울 강서구 곰달래로57길 23,(지번) 화곡동 803-27,"돈까스,우동"
155,배스킨라빈스 목동사거리점,서울 강서구 등촌로 49-2,(지번) 화곡동 772-74,아이스크림
156,맛술,서울 강서구 곰달래로60길 13 1층,(지번) 화곡동 781-8,퓨전요리
157,락원,서울 양천구 목동동로 293 현대41타워 308호,(지번) 목동 917-9,한식
158,목동포차 본점,서울 양천구 목동동로 260 양지타운 지하1층,(지번) 목동 406-203,닭요리
159,더브라운 목동점,서울 양천구 오목로 354 목동센트럴푸르지오 101동 101호,(지번) 목동 404-13,디저트카페
160,BHC치킨 목동2호점,서울 양천구 목동중앙본로1길 47,(지번) 목동 761-14,치킨
161,에머이 목동점,서울 양천구 목동서로 159-1 CBS방송국 1층,(지번) 목동 917-1,베트남음식
162,목동포차,서울 양천구 신정중앙로 95 1층,(지번) 신정동 887-8,실내포장마차
163,육쌈냉면 목동점,서울 양천구 목동서로 155 목동파라곤 지하1층 112호,(지번) 목동 917,냉면
164,다온메밀막국수,서울 양천구 오목로50길 8,(지번) 신정동 993-4,국수
165,철인7호,서울 양천구 목동중앙남로9길 41,(지번) 목동 730,음식점
166,리위엔,서울 양천구 목동서로 155 목동 파라곤 지하1층,(지번) 목동 917,중화요리
167,배떡 목동점,서울 양천구 목동중앙본로5길 19 1층,(지번) 목동 748-12,떡볶이
168,태웅칼국수,서울 강서구 곰달래로53길 26,(지번) 화곡동 801-15,국수
